SurveyName,Surveyyear,Season,ID,Intid,Strat,Stratname,Selected,Counted,UnitID,GMU,U17A,U17TNWR,U18GNS,U18KANAROL,U18TNWR,AreaMi,centrlat,centrlon,adult,calf,unknown,datecounted,searchmin,comments,,,
TOGIAK NWR MAR 2017,2017,spring,5918-15910,628,H,HIGH,0,0,5918-15910,17C,0,1,0,0,0,6.804,59.3167,-159.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5918-15905,629,H,HIGH,1,1,5918-15905,17C,0,1,0,0,0,6.804,59.3167,-159.1250,17,2,0,3/11/17,23,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16145,633,H,HIGH,0,0,5916-16145,18,0,0,0,1,1,6.811,59.2833,-161.7917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16140,634,H,HIGH,1,1,5916-16140,18,0,0,0,1,1,6.811,59.2833,-161.7083,1,2,0,3/14/17,23,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16130,636,H,HIGH,0,0,5916-16130,18,0,0,1,0,1,6.811,59.2833,-161.5417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16125,637,H,HIGH,0,0,5916-16125,18,0,0,1,0,1,6.811,59.2833,-161.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16120,638,H,HIGH,0,0,5916-16120,18,0,0,1,0,1,6.811,59.2833,-161.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16115,639,H,HIGH,0,0,5916-16115,18,0,0,1,0,1,6.811,59.2833,-161.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16110,640,H,HIGH,1,1,5916-16110,18,0,0,1,0,1,6.811,59.2833,-161.2083,0,0,0,3/19/17,19,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16055,643,H,HIGH,1,1,5916-16055,18,0,0,1,0,1,6.811,59.2833,-160.9583,4,5,0,3/13/17,26,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-16015,651,H,HIGH,1,1,5916-16015,17A,1,1,0,0,0,6.811,59.2833,-160.2917,21,1,0,3/12/17,29,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-15950,656,H,HIGH,0,0,5916-15950,17A,1,1,0,0,0,6.811,59.2833,-159.8750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-15935,659,H,HIGH,0,0,5916-15935,17A,1,1,0,0,0,6.811,59.2833,-159.6250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-15925,661,H,HIGH,0,0,5916-15925,17C,0,1,0,0,0,6.811,59.2833,-159.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-15915,663,H,HIGH,0,0,5916-15915,17C,0,1,0,0,0,6.811,59.2833,-159.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5916-15905,665,H,HIGH,0,0,5916-15905,17C,0,1,0,0,0,6.811,59.2833,-159.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-16120,674,H,HIGH,1,1,5914-16120,18,0,0,1,0,1,6.817,59.2500,-161.3750,24,6,0,3/19/17,32,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-16115,675,H,HIGH,0,0,5914-16115,18,0,0,1,0,1,6.817,59.2500,-161.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-16100,678,H,HIGH,1,1,5914-16100,18,0,0,1,0,1,6.817,59.2500,-161.0417,2,2,0,3/12/17,42,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-16045,681,H,HIGH,0,0,5914-16045,18,0,0,1,0,1,6.817,59.2500,-160.7917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-16015,687,H,HIGH,1,1,5914-16015,17A,1,1,0,0,0,6.817,59.2500,-160.2917,16,5,0,3/12/17,38,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-16010,688,H,HIGH,0,0,5914-16010,17A,1,1,0,0,0,6.817,59.2500,-160.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-15950,692,H,HIGH,1,1,5914-15950,17A,1,1,0,0,0,6.817,59.2500,-159.8750,0,0,0,3/12/17,21,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-15920,698,H,HIGH,0,0,5914-15920,17C,0,1,0,0,0,6.817,59.2500,-159.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-15915,699,H,HIGH,0,0,5914-15915,17C,0,1,0,0,0,6.817,59.2500,-159.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5914-15905,701,H,HIGH,1,1,5914-15905,17C,0,1,0,0,0,6.817,59.2500,-159.1250,0,0,0,3/13/17,20,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16125,708,H,HIGH,0,0,5912-16125,18,0,0,1,0,1,6.824,59.2167,-161.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16120,709,H,HIGH,0,0,5912-16120,18,0,0,1,0,1,6.824,59.2167,-161.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16110,711,H,HIGH,0,0,5912-16110,18,0,0,1,0,1,6.824,59.2167,-161.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16105,712,H,HIGH,0,0,5912-16105,18,0,0,1,0,1,6.824,59.2167,-161.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16055,714,H,HIGH,0,0,5912-16055,18,0,0,1,0,1,6.824,59.2167,-160.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16015,722,H,HIGH,0,0,5912-16015,17A,1,1,0,0,0,6.824,59.2167,-160.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-16010,723,H,HIGH,1,1,5912-16010,17A,1,1,0,0,0,6.824,59.2167,-160.2083,22,9,0,3/12/17,40,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-15920,733,H,HIGH,0,0,5912-15920,17C,0,1,0,0,0,6.824,59.2167,-159.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-15910,735,H,HIGH,0,0,5912-15910,17C,0,1,0,0,0,6.824,59.2167,-159.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5912-15905,736,H,HIGH,1,1,5912-15905,17C,0,1,0,0,0,6.824,59.2167,-159.1250,5,1,0,3/13/17,26,,,,
TOGIAK NWR MAR 2017,2017,spring,5910-16125,743,H,HIGH,0,0,5910-16125,18,0,0,1,0,1,6.830,59.1833,-161.4583,0,0,0,,,,,,
